[metadata_layer] 793 (wallet, market) pairs to score
[metadata_layer] 139/793 (0xc3e451…, us-strikes-iran-by-february-28-2) elapsed=35.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 140/793 (0xee2f37…, us-strikes-iran-by-february-28-2) elapsed=35.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 141/793 (0x2a019d…, us-strikes-iran-by-february-28-2) elapsed=35.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 142/793 (0xf56b05…, us-strikes-iran-by-february-28-2) elapsed=35.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 143/793 (0x781868…, us-strikes-iran-by-february-28-2) elapsed=36.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 144/793 (0x027c2e…, us-strikes-iran-by-february-28-2) elapsed=36.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 145/793 (0x93ee6b…, us-strikes-iran-by-february-28-2) elapsed=36.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 146/793 (0x9537d7…, us-strikes-iran-by-february-28-2) elapsed=36.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 147/793 (0xa3e79e…, us-strikes-iran-by-february-28-2) elapsed=36.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 148/793 (0x6f2468…, us-strikes-iran-by-february-28-2) elapsed=37.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 149/793 (0x340799…, us-strikes-iran-by-february-28-2) elapsed=37.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 150/793 (0x15a3ac…, us-strikes-iran-by-february-28-2) elapsed=37.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 151/793 (0x6d522d…, us-strikes-iran-by-february-28-2) elapsed=37.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 152/793 (0x8d39df…, us-strikes-iran-by-february-28-2) elapsed=37.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 153/793 (0x676809…, us-strikes-iran-by-february-28-2) elapsed=38.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 154/793 (0xc17109…, us-strikes-iran-by-february-28-2) elapsed=38.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 155/793 (0xd6cf0f…, us-strikes-iran-by-february-28-2) elapsed=38.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 156/793 (0x89cd94…, us-strikes-iran-by-february-28-2) elapsed=38.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 157/793 (0x325fe0…, us-strikes-iran-by-february-28-2) elapsed=38.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 158/793 (0xe08e25…, us-strikes-iran-by-february-28-2) elapsed=39.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 159/793 (0xd23119…, us-strikes-iran-by-february-28-2) elapsed=39.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 160/793 (0x81cf6f…, us-strikes-iran-by-february-28-2) elapsed=39.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 161/793 (0xd2c00d…, us-strikes-iran-by-february-28-2) elapsed=39.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 162/793 (0xb43200…, us-strikes-iran-by-february-28-2) elapsed=39.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 163/793 (0xc550e5…, us-strikes-iran-by-february-28-2) elapsed=40.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 164/793 (0xea41d1…, us-strikes-iran-by-february-28-2) elapsed=40.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 165/793 (0x65d6e1…, us-strikes-iran-by-february-28-2) elapsed=40.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 166/793 (0x6f5369…, us-strikes-iran-by-february-28-2) elapsed=40.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 167/793 (0xf18d4d…, us-strikes-iran-by-february-28-2) elapsed=41.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 168/793 (0x046ce8…, us-strikes-iran-by-february-28-2) elapsed=41.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 169/793 (0x82f3ac…, us-strikes-iran-by-february-28-2) elapsed=41.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 170/793 (0xd9bfe9…, us-strikes-iran-by-february-28-2) elapsed=41.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 171/793 (0x935afd…, us-strikes-iran-by-february-28-2) elapsed=41.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 172/793 (0xb83f71…, us-strikes-iran-by-february-28-2) elapsed=42.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 173/793 (0x6f4394…, us-strikes-iran-by-february-28-2) elapsed=42.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
