[metadata_layer] 793 (wallet, market) pairs to score
[metadata_layer] 174/793 (0x1fa2f7…, us-strikes-iran-by-february-28-2) elapsed=42.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 175/793 (0x977ac4…, us-strikes-iran-by-february-28-2) elapsed=42.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 176/793 (0xf66bb1…, us-strikes-iran-by-february-28-2) elapsed=42.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 177/793 (0x1e3bb7…, us-strikes-iran-by-february-28-2) elapsed=42.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 178/793 (0x0eaa43…, us-strikes-iran-by-february-28-2) elapsed=43.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 179/793 (0xd4e4b3…, us-strikes-iran-by-february-28-2) elapsed=43.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 180/793 (0x542788…, us-strikes-iran-by-february-28-2) elapsed=43.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 181/793 (0xac6b47…, us-strikes-iran-by-february-28-2) elapsed=43.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 182/793 (0xea9aa4…, us-strikes-iran-by-february-28-2) elapsed=43.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 183/793 (0x31e82e…, us-strikes-iran-by-february-28-2) elapsed=44.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 184/793 (0xe6bea3…, us-strikes-iran-by-february-28-2) elapsed=44.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 185/793 (0x55bd22…, us-strikes-iran-by-february-28-2) elapsed=44.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 186/793 (0xd9ad84…, us-strikes-iran-by-february-28-2) elapsed=44.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 187/793 (0x6f323a…, us-strikes-iran-by-february-28-2) elapsed=44.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 188/793 (0xd75483…, us-strikes-iran-by-february-28-2) elapsed=45.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 189/793 (0x67dee5…, us-strikes-iran-by-february-28-2) elapsed=45.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 190/793 (0xa82b0e…, us-strikes-iran-by-february-28-2) elapsed=45.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 191/793 (0xa31514…, us-strikes-iran-by-february-28-2) elapsed=45.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 192/793 (0x641b56…, us-strikes-iran-by-february-28-2) elapsed=45.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 193/793 (0x9ef582…, us-strikes-iran-by-february-28-2) elapsed=46.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 194/793 (0x4aaefd…, us-strikes-iran-by-february-28-2) elapsed=46.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 195/793 (0x79963f…, us-strikes-iran-by-february-28-2) elapsed=46.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 196/793 (0x82ed24…, us-strikes-iran-by-february-28-2) elapsed=46.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 197/793 (0xc0292a…, us-strikes-iran-by-february-28-2) elapsed=46.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 198/793 (0x1efcbf…, us-strikes-iran-by-february-28-2) elapsed=46.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 199/793 (0xa6e2f0…, us-strikes-iran-by-february-28-2) elapsed=47.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 200/793 (0x2f7179…, us-strikes-iran-by-february-28-2) elapsed=47.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 201/793 (0x2d6545…, us-strikes-iran-by-february-28-2) elapsed=47.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 202/793 (0x9e8dcb…, us-strikes-iran-by-february-28-2) elapsed=47.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 203/793 (0x5b6331…, us-strikes-iran-by-february-28-2) elapsed=48.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 204/793 (0x22d080…, us-strikes-iran-by-february-28-2) elapsed=48.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 205/793 (0xfa5b84…, us-strikes-iran-by-february-28-2) elapsed=48.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 206/793 (0xc0fb92…, us-strikes-iran-by-february-28-2) elapsed=49.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 207/793 (0xb8e69b…, us-strikes-iran-by-february-28-2) elapsed=49.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 208/793 (0x1fd861…, us-strikes-iran-by-february-28-2) elapsed=49.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 209/793 (0x92a629…, us-strikes-iran-by-february-28-2) elapsed=49.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 210/793 (0x662a84…, us-strikes-iran-by-february-28-2) elapsed=49.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 211/793 (0x37b5de…, us-strikes-iran-by-february-28-2) elapsed=50.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 212/793 (0x749dcc…, us-strikes-iran-by-february-28-2) elapsed=50.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 213/793 (0x206026…, us-strikes-iran-by-february-28-2) elapsed=50.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 214/793 (0xb7f6b6…, us-strikes-iran-by-february-28-2) elapsed=50.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 215/793 (0x47fc03…, us-strikes-iran-by-february-28-2) elapsed=51.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 216/793 (0xb4ac50…, us-strikes-iran-by-february-28-2) elapsed=51.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 217/793 (0x1270fc…, us-strikes-iran-by-february-28-2) elapsed=51.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 218/793 (0xf1a1bc…, us-strikes-iran-by-february-28-2) elapsed=51.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 219/793 (0xb0cf67…, us-strikes-iran-by-february-28-2) elapsed=51.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 220/793 (0x95bd10…, us-strikes-iran-by-february-28-2) elapsed=51.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 221/793 (0x5e0b01…, us-strikes-iran-by-february-28-2) elapsed=52.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 222/793 (0x943117…, us-strikes-iran-by-february-28-2) elapsed=52.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 223/793 (0xf37af1…, us-strikes-iran-by-february-28-2) elapsed=52.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 224/793 (0x45f402…, us-strikes-iran-by-february-28-2) elapsed=52.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 225/793 (0x4ec2f1…, us-strikes-iran-by-february-28-2) elapsed=52.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 226/793 (0xb390ae…, us-strikes-iran-by-february-28-2) elapsed=53.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 227/793 (0xa34d11…, us-strikes-iran-by-february-28-2) elapsed=53.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 228/793 (0x8e5882…, us-strikes-iran-by-february-28-2) elapsed=53.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 229/793 (0x421b26…, us-strikes-iran-by-february-28-2) elapsed=53.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 230/793 (0xdad424…, us-strikes-iran-by-february-28-2) elapsed=53.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 231/793 (0xe1bdfa…, us-strikes-iran-by-february-28-2) elapsed=54.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 232/793 (0xeee545…, us-strikes-iran-by-february-28-2) elapsed=54.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 233/793 (0x65387d…, us-strikes-iran-by-february-28-2) elapsed=54.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 234/793 (0xe85f14…, us-strikes-iran-by-february-28-2) elapsed=54.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 235/793 (0x244cde…, us-strikes-iran-by-february-28-2) elapsed=54.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 236/793 (0xcb8ed9…, us-strikes-iran-by-february-28-2) elapsed=54.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 237/793 (0x613023…, us-strikes-iran-by-february-28-2) elapsed=55.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 238/793 (0xeb1cdc…, us-strikes-iran-by-february-28-2) elapsed=55.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 239/793 (0xfffee3…, us-strikes-iran-by-february-28-2) elapsed=55.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 240/793 (0xfc8dce…, us-strikes-iran-by-february-28-2) elapsed=55.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 241/793 (0xf1d54d…, us-strikes-iran-by-february-28-2) elapsed=55.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 242/793 (0xfea205…, us-strikes-iran-by-february-28-2) elapsed=56.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 243/793 (0xf3927f…, us-strikes-iran-by-february-28-2) elapsed=56.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 244/793 (0xcb7096…, us-strikes-iran-by-february-28-2) elapsed=56.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 245/793 (0xdc81c8…, us-strikes-iran-by-february-28-2) elapsed=56.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 246/793 (0x75cb9c…, us-strikes-iran-by-february-28-2) elapsed=56.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 247/793 (0x94885a…, us-strikes-iran-by-february-28-2) elapsed=57.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 248/793 (0x0d1c10…, us-strikes-iran-by-february-28-2) elapsed=57.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 249/793 (0x6539b5…, us-strikes-iran-by-february-28-2) elapsed=57.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 250/793 (0xa3a445…, us-strikes-iran-by-february-28-2) elapsed=57.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 251/793 (0x3b0862…, us-strikes-iran-by-february-28-2) elapsed=57.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 252/793 (0x3f2d7f…, us-strikes-iran-by-february-28-2) elapsed=58.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 253/793 (0x3da465…, us-strikes-iran-by-february-28-2) elapsed=58.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 254/793 (0x3a397a…, us-strikes-iran-by-february-28-2) elapsed=58.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 255/793 (0xa33d4e…, us-strikes-iran-by-february-28-2) elapsed=58.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 256/793 (0x72a868…, us-strikes-iran-by-february-28-2) elapsed=58.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 257/793 (0x00662f…, us-strikes-iran-by-february-28-2) elapsed=59.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 258/793 (0xc87094…, us-strikes-iran-by-february-28-2) elapsed=59.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 259/793 (0xaa3fd4…, us-strikes-iran-by-february-28-2) elapsed=59.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 260/793 (0xebb29d…, us-strikes-iran-by-february-28-2) elapsed=59.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 261/793 (0xa75a60…, us-strikes-iran-by-february-28-2) elapsed=59.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 262/793 (0xf3ac96…, us-strikes-iran-by-february-28-2) elapsed=60.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 263/793 (0x9a943c…, us-strikes-iran-by-february-28-2) elapsed=60.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 264/793 (0xb8a151…, us-strikes-iran-by-february-28-2) elapsed=60.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 265/793 (0x2eefe3…, us-strikes-iran-by-february-28-2) elapsed=60.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 266/793 (0xf124eb…, us-strikes-iran-by-february-28-2) elapsed=60.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 267/793 (0xb2e24b…, us-strikes-iran-by-february-28-2) elapsed=60.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 268/793 (0x73d49f…, us-strikes-iran-by-february-28-2) elapsed=61.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 269/793 (0x05f1ad…, us-strikes-iran-by-february-28-2) elapsed=61.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 270/793 (0xbceb7a…, us-strikes-iran-by-february-28-2) elapsed=61.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 271/793 (0x449303…, us-strikes-iran-by-february-28-2) elapsed=61.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 272/793 (0x6ae416…, us-strikes-iran-by-february-28-2) elapsed=62.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 273/793 (0xf85fa3…, us-strikes-iran-by-february-28-2) elapsed=62.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 274/793 (0x255e42…, us-strikes-iran-by-february-28-2) elapsed=62.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 275/793 (0xeff07c…, us-strikes-iran-by-february-28-2) elapsed=62.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 276/793 (0x38a00d…, us-strikes-iran-by-february-28-2) elapsed=62.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 277/793 (0xb932b0…, us-strikes-iran-by-february-28-2) elapsed=63.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 278/793 (0x005b16…, us-strikes-iran-by-february-28-2) elapsed=63.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 279/793 (0x3c593a…, us-strikes-iran-by-february-28-2) elapsed=63.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 280/793 (0x2c36fd…, us-strikes-iran-by-february-28-2) elapsed=63.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 281/793 (0x82d4d5…, us-strikes-iran-by-february-28-2) elapsed=63.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 282/793 (0x8a6510…, us-strikes-iran-by-february-28-2) elapsed=64.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 283/793 (0x5cc5ec…, us-strikes-iran-by-february-28-2) elapsed=64.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 284/793 (0xec05c9…, us-strikes-iran-by-february-28-2) elapsed=64.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 285/793 (0x253995…, us-strikes-iran-by-february-28-2) elapsed=64.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 286/793 (0x2843d5…, us-strikes-iran-by-february-28-2) elapsed=64.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 287/793 (0x37172e…, us-strikes-iran-by-february-28-2) elapsed=65.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 288/793 (0xa32ae3…, us-strikes-iran-by-march-1-2026-) elapsed=67.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 289/793 (0x22535f…, us-strikes-iran-by-march-1-2026-) elapsed=67.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 290/793 (0x276092…, us-strikes-iran-by-march-1-2026-) elapsed=68.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 291/793 (0xaface7…, us-strikes-iran-by-march-1-2026-) elapsed=68.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 292/793 (0xf67f72…, us-strikes-iran-by-march-1-2026-) elapsed=68.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 293/793 (0xefaf0c…, us-strikes-iran-by-march-1-2026-) elapsed=68.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 294/793 (0xdb4b7b…, us-strikes-iran-by-march-1-2026-) elapsed=68.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 295/793 (0x4ad6f0…, us-strikes-iran-by-march-1-2026-) elapsed=68.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 296/793 (0xf5be02…, us-strikes-iran-by-march-1-2026-) elapsed=69.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 297/793 (0x58fab4…, us-strikes-iran-by-march-1-2026-) elapsed=69.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 298/793 (0x685e55…, us-strikes-iran-by-march-1-2026-) elapsed=69.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 299/793 (0xe74619…, us-strikes-iran-by-march-1-2026-) elapsed=69.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 300/793 (0x6d5d83…, us-strikes-iran-by-march-1-2026-) elapsed=69.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 301/793 (0x741f82…, us-strikes-iran-by-march-1-2026-) elapsed=69.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 302/793 (0x06dcaa…, us-strikes-iran-by-march-1-2026-) elapsed=70.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 303/793 (0xab79b0…, us-strikes-iran-by-march-1-2026-) elapsed=70.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 304/793 (0x33acd2…, us-strikes-iran-by-march-1-2026-) elapsed=70.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 305/793 (0xfc2f4f…, us-strikes-iran-by-march-1-2026-) elapsed=70.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 306/793 (0xda25ac…, us-strikes-iran-by-march-1-2026-) elapsed=70.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 307/793 (0xa67b46…, us-strikes-iran-by-march-1-2026-) elapsed=71.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 308/793 (0x00ae23…, us-strikes-iran-by-march-1-2026-) elapsed=71.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 309/793 (0x0ffcfd…, us-strikes-iran-by-march-1-2026-) elapsed=71.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 310/793 (0xc8ab97…, us-strikes-iran-by-march-1-2026-) elapsed=71.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 311/793 (0xb4d080…, us-strikes-iran-by-march-1-2026-) elapsed=72.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 312/793 (0x22c030…, us-strikes-iran-by-march-1-2026-) elapsed=72.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 313/793 (0xf29560…, us-strikes-iran-by-march-1-2026-) elapsed=72.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 314/793 (0x9642bd…, us-strikes-iran-by-march-1-2026-) elapsed=72.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 315/793 (0x171eda…, us-strikes-iran-by-march-1-2026-) elapsed=72.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 316/793 (0xbdf4b1…, us-strikes-iran-by-march-1-2026-) elapsed=72.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 317/793 (0xd6d3ac…, us-strikes-iran-by-march-1-2026-) elapsed=73.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 318/793 (0x10b0d2…, us-strikes-iran-by-march-1-2026-) elapsed=73.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 319/793 (0x3ecfd2…, us-strikes-iran-by-march-1-2026-) elapsed=73.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 320/793 (0xbe3d34…, us-strikes-iran-by-march-1-2026-) elapsed=73.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 321/793 (0xda2d32…, us-strikes-iran-by-march-1-2026-) elapsed=73.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 322/793 (0x7c6a50…, us-strikes-iran-by-march-1-2026-) elapsed=74.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 323/793 (0xa54dcc…, us-strikes-iran-by-march-1-2026-) elapsed=74.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 324/793 (0x4e2560…, us-strikes-iran-by-march-1-2026-) elapsed=74.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 325/793 (0x647081…, us-strikes-iran-by-march-1-2026-) elapsed=75.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 326/793 (0x575f9f…, us-strikes-iran-by-march-1-2026-) elapsed=75.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 327/793 (0x1872ca…, us-strikes-iran-by-march-1-2026-) elapsed=75.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 328/793 (0xfd0b63…, us-strikes-iran-by-march-1-2026-) elapsed=75.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 329/793 (0x63c652…, us-strikes-iran-by-march-1-2026-) elapsed=75.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 330/793 (0xbbfe01…, us-strikes-iran-by-march-1-2026-) elapsed=76.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 331/793 (0xdb657f…, us-strikes-iran-by-march-1-2026-) elapsed=76.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 332/793 (0xe85fbb…, us-strikes-iran-by-march-1-2026-) elapsed=76.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 333/793 (0x1521b4…, us-strikes-iran-by-march-1-2026-) elapsed=76.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 334/793 (0xfd2b19…, us-strikes-iran-by-march-1-2026-) elapsed=76.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 335/793 (0xce785a…, us-strikes-iran-by-march-1-2026-) elapsed=77.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 336/793 (0x1bcd6d…, us-strikes-iran-by-march-1-2026-) elapsed=77.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 337/793 (0xfe23f3…, us-strikes-iran-by-march-1-2026-) elapsed=77.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 338/793 (0x394ea9…, us-strikes-iran-by-march-1-2026-) elapsed=77.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 339/793 (0x4be1a0…, us-strikes-iran-by-march-1-2026-) elapsed=77.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 340/793 (0x0de44e…, us-strikes-iran-by-march-1-2026-) elapsed=77.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 341/793 (0x042876…, us-strikes-iran-by-march-1-2026-) elapsed=78.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 342/793 (0xefc9a3…, us-strikes-iran-by-march-1-2026-) elapsed=78.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 343/793 (0xae0f21…, us-strikes-iran-by-march-1-2026-) elapsed=78.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
