[metadata_layer] WARNING: ETHERSCAN_API_KEY not set; wallet_age / funder / sibling features will be NaN.
[metadata_layer] 793 (wallet, market) pairs to score
[metadata_layer] 26/793 (0xd27652…, microstrategy-announces-1000-btc) elapsed=42.3s
[metadata_layer] 27/793 (0x980099…, microstrategy-announces-1000-btc) elapsed=42.3s
[metadata_layer] 28/793 (0x58f505…, microstrategy-announces-1000-btc) elapsed=43.9s
[metadata_layer] 29/793 (0x5c4a70…, microstrategy-announces-1000-btc) elapsed=44.0s
[metadata_layer] 30/793 (0x976685…, microstrategy-announces-1000-btc) elapsed=44.0s
[metadata_layer] 31/793 (0x5d55e3…, microstrategy-announces-1000-btc) elapsed=44.0s
[metadata_layer] 32/793 (0x567500…, microstrategy-announces-1000-btc) elapsed=44.0s
[metadata_layer] 33/793 (0x6e1a7b…, microstrategy-announces-1000-btc) elapsed=44.0s
[metadata_layer] 34/793 (0x4bfb41…, microstrategy-announces-1000-btc) elapsed=44.0s ERR: KeyError: 'timestamp'
[metadata_layer] 35/793 (0x0d832e…, microstrategy-announces-1000-btc) elapsed=44.0s
[metadata_layer] 36/793 (0x7bb7bc…, microstrategy-announces-1000-btc) elapsed=45.9s
[metadata_layer] 37/793 (0xf2f76d…, microstrategy-announces-1000-btc) elapsed=46.0s
[metadata_layer] 38/793 (0x6bab41…, microstrategy-announces-1000-btc) elapsed=47.1s
[metadata_layer] 39/793 (0xaab69d…, microstrategy-announces-1000-btc) elapsed=47.2s
[metadata_layer] 40/793 (0xa6d9b5…, microstrategy-announces-1000-btc) elapsed=48.9s
[metadata_layer] 41/793 (0xf5b4ad…, microstrategy-announces-1000-btc) elapsed=49.0s
[metadata_layer] 42/793 (0x565209…, microstrategy-announces-1000-btc) elapsed=49.0s
[metadata_layer] 43/793 (0xb574bc…, microstrategy-announces-1000-btc) elapsed=49.0s
[metadata_layer] 44/793 (0xc084ec…, microstrategy-announces-1000-btc) elapsed=49.0s
[metadata_layer] 45/793 (0xa4b366…, microstrategy-announces-1000-btc) elapsed=50.7s
[metadata_layer] 46/793 (0x80ab6a…, microstrategy-announces-1000-btc) elapsed=52.6s
[metadata_layer] 47/793 (0x026036…, microstrategy-announces-1000-btc) elapsed=54.4s
[metadata_layer] 48/793 (0x8ee31a…, microstrategy-announces-1000-btc) elapsed=54.4s
[metadata_layer] 49/793 (0xf32898…, microstrategy-announces-1000-btc) elapsed=54.4s
[metadata_layer] 50/793 (0x567500…, microstrategy-announces-1000-btc) elapsed=54.7s
[metadata_layer] 51/793 (0xd18966…, microstrategy-announces-1000-btc) elapsed=54.7s
[metadata_layer] 52/793 (0xb1a279…, microstrategy-announces-1000-btc) elapsed=54.7s
[metadata_layer] 53/793 (0x9256dc…, microstrategy-announces-1000-btc) elapsed=56.6s
[metadata_layer] 54/793 (0x556082…, microstrategy-announces-1000-btc) elapsed=56.9s
[metadata_layer] 55/793 (0x739ce9…, microstrategy-announces-1000-btc) elapsed=57.2s
[metadata_layer] 56/793 (0x69645c…, microstrategy-announces-1000-btc) elapsed=58.9s
[metadata_layer] 57/793 (0x4e09ac…, microstrategy-sell-any-bitcoin-i) elapsed=60.9s
[metadata_layer] 58/793 (0xd44c2d…, microstrategy-sell-any-bitcoin-i) elapsed=61.8s
